wav_file,wav_path,start_time,end_time,duration_s,has_metar,n_adsb_pings,n_aircraft,aircraft_in_window
10.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\10.wav,2020-10-22 13:48:27.691478,2020-10-22 13:51:18.216862,170.525384,False,237,3,"['EJM410', 'N410LG', 'N6886D']"
12.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\12.wav,2020-10-22 14:07:39.231442,2020-10-22 14:22:39.740926,900.509484,False,1755,5,"['N1824H', 'N56987', 'N6683S', 'N92141', 'N990JB']"
13.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\13.wav,2020-10-22 14:22:46.435089,2020-10-22 14:37:46.641410,900.206321,False,3090,11,"['FDY308', 'N40925', 'N53226', 'N56987', 'N645HA', 'N6683S', 'N819CM', 'N8275D', 'N92141', 'N9642F', 'RPA5605']"
14.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\14.wav,2020-10-22 14:37:53.105339,2020-10-22 14:52:53.418489,900.31315,False,6529,16,"['EDV4678', 'N121HQ', 'N13337', 'N1452U', 'N177PM', 'N204JQ', 'N232PQ', 'N336Z', 'N43488', 'N53226', 'N56987', 'N600AL', 'N819CM', 'N8275D', 'N92141', 'RPA5605']"
15.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\15.wav,2020-10-22 14:52:59.762546,2020-10-22 15:08:00.582346,900.8198,False,5415,14,"['N121HQ', 'N13337', 'N1452U', 'N177PM', 'N28MR', 'N336Z', 'N40925', 'N41548', 'N43488', 'N53226', 'N819CM', 'N92141', 'N98887', 'RPA4557']"
16.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\16.wav,2020-10-22 15:08:07.120001,2020-10-22 15:23:08.059410,900.939409,False,5725,17,"['N13337', 'N1452U', 'N177PM', 'N191ND', 'N28MR', 'N3004F', 'N40925', 'N41548', 'N53226', 'N5991L', 'N819CM', 'N879UA', 'N92141', 'N93CF', 'PING95B2', 'SWA6770', 'UAL710']"
17.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\17.wav,2020-10-22 15:23:14.663441,2020-10-22 15:29:30.928445,376.265004,False,1555,10,"['N1452U', 'N246PK', 'N3004F', 'N40925', 'N53226', 'N559QS', 'N803JA', 'N92141', 'N93CF', 'N984WU']"
18.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\18.wav,2020-10-22 15:39:13.891967,2020-10-22 15:54:14.417195,900.525228,False,6589,22,"['AMF1029', 'FDY232', 'N128CE', 'N1452U', 'N191ND', 'N262ND', 'N318GB', 'N346AF', 'N41548', 'N43488', 'N445ME', 'N49PM', 'N53226', 'N567ND', 'N600HJ', 'N6886D', 'N819CM', 'N9539B', 'N984WU', 'N98887', 'NDU67', 'VFR']"
19.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\19.wav,2020-10-22 15:54:20.945662,2020-10-22 16:09:21.790531,900.844869,False,9046,22,"['AMF1029', 'FDY307', 'MLN563', 'N111HQ', 'N13337', 'N1452U', 'N24TS', 'N262ND', 'N41548', 'N43488', 'N49PM', 'N53226', 'N560ES', 'N567ND', 'N600HJ', 'N6886D', 'N819CM', 'N92141', 'N9642F', 'N984WU', 'NDU67', 'VFR']"
20.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\20.wav,2020-10-22 16:09:28.373036,2020-10-22 16:18:51.096213,562.723177,False,3573,13,"['FDY307', 'N24TS', 'N262ND', 'N391SC', 'N53226', 'N567ND', 'N600HJ', 'N819CM', 'N8275D', 'N8588B', 'N92141', 'NDU67', 'RPA5600']"
21.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\21.wav,2020-10-22 16:21:45.924278,2020-10-22 16:36:46.800206,900.875928,False,4198,17,"['N2490M', 'N24TS', 'N262ND', 'N391SC', 'N4861L', 'N49PM', 'N567ND', 'N636RW', 'N751YX', 'N819CM', 'N8275D', 'N8588B', 'N92141', 'N9818B', 'NDU67', 'RPA3471', 'RPA3572']"
23.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\23.wav,2020-10-22 16:52:00.790498,2020-10-22 17:07:01.434162,900.643664,False,5295,20,"['EDV5135', 'FDY233', 'N112GT', 'N13337', 'N1407X', 'N18287', 'N232PQ', 'N2485D', 'N24TS', 'N318GB', 'N3378X', 'N41548', 'N43488', 'N53226', 'N62104', 'N6683S', 'N819CM', 'N92141', 'N9642F', 'STEEL41']"
24.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\24.wav,2020-10-22 17:07:07.883944,2020-10-22 17:14:34.575647,446.691703,False,2003,8,"['EDV5135', 'N1407X', 'N2485D', 'N41548', 'N43488', 'N62104', 'N6683S', 'N7667C']"
25.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\25.wav,2020-10-22 17:16:35.098254,2020-10-22 17:31:35.813408,900.715154,False,5043,13,"['N2485D', 'N24TS', 'N35377', 'N41548', 'N43488', 'N445ME', 'N4491B', 'N53226', 'N62104', 'N819CM', 'N8893C', 'N92141', 'NDU67']"
